D-ALANINE C00133
AMMONIUM C01342
WATER C00001
PROTON C00080
PYRUVATE C00022
ACET C00033
CARBON-DIOXIDE C00011
PRO C00148
L-DELTA1-PYRROLINE_5-CARBOXYLATE C03912
4-HYDROXY-L-PROLINE C01015
PYRROLINE-HYDROXY-CARBOXYLATE C04281
D-LACTATE C00256
DI-H-OROTATE C00337
OROTATE C00295
OXYGEN-MOLECULE C00007
SUC C00042
FUM C00122
NADH C00004
NAD C00003
GLYCEROL-3P C00093
DIHYDROXY-ACETONE-PHOSPHATE C00111
ZN+2 C00038
ALPHA-GLC-6-P C00668
GLC-1-P C00103
FORMATE C00058
CPD-55 C01838
HEPTADECANE-CPD C01816
NADP C00006
NADPH C00005
NITROGEN-MOLECULE C00697
NITRIC-OXIDE C00533
L-PANTOATE C00522
2-DEHYDROPANTOATE C00966
ADP C00008
ATP C00002
DGMP C00362
DEOXYGUANOSINE C00330
HOMO-CYS C00155
CPD-667 C01077
HS C00283
DAMP C00360
DEOXYADENOSINE C00559
DGDP C00361
DADP C00206
PYRIDOXAMINE-5P C00647
PYRIDOXAMINE C00534
DIHYDROXYPENTANEDIONE C11838
CPD-564 C03539
AMP C00020
CPD-13713 C05686
SELENITE SELENITE
GLUTATHIONE C00051
OXIDIZED-GLUTATHIONE C00127
CPD-13908 C18870
CPD-678 CPD-678
CPD-13909 C18871
1-KESTOTRIOSE C03661
SUCROSE C00089
GLC C00221
NYSTOSE NYSTOSE
6G-KESTOTETRAOSE 6G-KESTOTETRAOSE
ACRYLAMIDE C01659
ACRYLONITRILE C01998
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE C11453
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET C11436
CMP C00055
PPI C00013
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE C11434
4-CYTIDINE-5-DIPHOSPHO-2-C C11435
CTP C00063
CO-A C00010
L-1-LYSOPHOSPHATIDATE L-1-LYSOPHOSPHATIDATE
OLEOYL-COA C00510
CPD-15924 CPD-15924
3-UREIDO-PROPIONATE C02642
B-ALANINE C00099
DI-H-URACIL C00429
CPD-4211 C00235
DELTA3-ISOPENTENYL-PP C00129
CARBAMOYL-P C00169
ACETYL-COA C00024
ACETYL-GLU C00624
GLT C00025
PYRIDOXINE-5P C00627
PYRIDOXINE C00314
PYRIDOXAL_PHOSPHATE C00018
PYRIDOXAL C00250
MALONATE-S-ALD C00222
3-HYDROXY-PROPIONATE C01013
VANILLATE C06672
VANILLIN C00755
ERYTHRONATE-4P C03393
ERYTHROSE-4P C00279
3OH-4P-OH-ALPHA-KETOBUTYRATE C06054
CPD-329 C03289
L-GULONO-1-4-LACTONE C01040
HYDROGEN-PEROXIDE C00027
L-GULONATE C00800
CPD-15530 CPD-15530
ASCORBATE C00072
PROPIONATE C00163
PROPIONYL-P C02876
2-OXOBUTANOATE C00109
PROPIONYL-COA C00100
FAD C00016
FMN C00061
DIHYDROXY-BUTANONE-P C15556
RIBULOSE-5P C00199
CPD-1086 C04454
CPD-602 C01268
DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR C01304
CPD-237 C02693
INDOLEYL-CPD C02938
CPD-12279 CPD-12279
GLY C00037
HOMO-SER C00263
O-SUCCINYL-L-HOMOSERINE C01118
SUC-COA C00091
L-CYSTATHIONINE C02291
CYS C00097
CPD-784 C04186
CPD-783 C04642
CPD-785 C04052
CPD-804 C05601
SUCC-S-ALD C00232
CPD-787 C05600
CPD-339 C01218
CPD-377 C06473
CPD-2961 C00345
5-DEHYDROGLUCONATE C01062
25-DIDEHYDRO-D-GLUCONATE C02780
CPD-13059 C15673
QUINOLINATE C03722
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI C04409
NICOTINAMIDE_NUCLEOTIDE C00455
NICOTINATE_NUCLEOTIDE C01185
CPD-1067 C01186
CPD-233 C01142
3-KETOBUTYRATE C00164
CPD-672 C05231
CPD-159 C03656
CROTONYL-COA C00877
ACETOACETYL-COA C00332
BUTYRIC_ACID C00246
BUTYRYL-COA C00136
PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE C04734
10-FORMYL-THF C00234
THF C00101
AICAR C04677
PHOSPHORIBULOSYL-FORMIMINO-AICAR-P C04916
PHOSPHORIBOSYL-FORMIMINO-AICAR-P C04896
PANTETHEINE-P C01134
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE C04352
HIS C00135
UROCANATE C00785
N-FORMIMINO-L-GLUTAMATE C00439
CPD-600 C01045
4-IMIDAZOLONE-5-PROPIONATE C03680
5-METHYLTHIOADENOSINE C00170
S-ADENOSYLMETHIONINE C00019
CPD-68 C01234
ALLANTOATE C00499
S-ALLANTOIN C02350
CPD0-2298 CPD0-2298
CPD-1091 C00603
5-AMINO-LEVULINATE C00430
GLUTAMATE-1-SEMIALDEHYDE C03741
5-METHYL-THF C00440
TRIMETHYLSULFONIUM C01008
CPD-7670 C00580
5-10-METHENYL-THF C00445
METHYLENE-THF C00143
HMP C01279
AMINO-HYDROXYMETHYL-METHYL-PYR-P C04556
4-AMINO-BUTYRATE C00334
2-KETOGLUTARATE C00026
CPD-1136 C04225
CPD-9421 CPD-9421
CPD-618 C04593
MONO-VINYL-PROTOCHLOROPHYLLIDE-A C02880
DIVINYL-PROTOCHLOROPHYLLIDE-A C11831
CHLOROPHYLLIDE-A C02139
131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M C11830
13-HYDROXY-MAGNESIUM-PROTOPORP C11829
MG-PROTOPORPHYRIN-MONOMETHYL-ESTER C04536
HYDROGEN-MOLECULE C00282
GLYCERATE C00258
OH-PYR C00168
GLYOX C00048
SER C00065
FORMALDEHYDE C00067
CPD-9055 CPD-9055
L-SORBOSONE C19679
CPD-9056 CPD-9056
ARG C00062
CPD-421 C03296
N2-SUCCINYLORNITHINE C03415
CPD-822 C05932
CDP-CHOLINE C00307
CMP-KDO C04121
KDO2-LIPID-IVA C06025
KDO-LIPID-IVA C06024
4-AMINO-BUTYRALDEHYDE C00555
PUTRESCINE C00134
AGMATHINE C00179
SARCOSINE C00213
CREATINE C00300
UREA C00086
L-GLUTAMATE_GAMMA-SEMIALDEHYDE C01165
L-ORNITHINE C00077
DIHYDROFOLATE C00415
DUMP C00365
TMP C00364
DIHYDRONEOPTERIN-P C05925
DIHYDRONEOPTERIN-P3 C04895
CPD-208 C04348
3-HYDROXY-PROPIONYL-COA C05668
ACRYLYL-COA C00894
D-BETA-D-HEPTOSE-17-DIPHOSPHATE C11472
ADP-D-GLYCERO-D-MANNO-HEPTOSE C06397
D-BETA-D-HEPTOSE-1-P D-BETA-D-HEPTOSE-1-P
CREATININE C00791
N-METHYLHYDANTOIN C02565
RIBOFLAVIN C00255
CPD-11997 CPD-11997
C1 C04882
UMP C00105
CPD-11994 CPD-11994
CPD-11999 CPD-11999
CPD-12260 CPD-12260
CPD-11984 CPD-11984
CPD-12000 CPD-12000
DIHYDROXYACETONE C00184
GLYCEROL C00116
N-SUCCINYLLL-2-6-DIAMINOPIMELATE C04421
N-SUCCINYL-2-AMINO-6-KETOPIMELATE C04462
DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE C03972
CPD-14443 CPD-14443
ISOCHORISMATE C00885
CHORISMATE C00251
2-3-DIHYDROXYBENZOATE C00196
DIHYDRO-DIOH-BENZOATE C04171
CPD-13708 C04793
CPD-13680 CPD-13680
CPD-13711 CPD-13711
3-HYDROXY-5917-TRIOXO-45910-DISECOA C04844
CPD-13712 CPD-13712
CPD-665 C00479
CPD-13722 CPD-13722
CPD-13755 CPD-13755
CPD-13754 CPD-13754
CPD-13757 CPD-13757
CPD-13756 CPD-13756
CPD-13758 CPD-13758
AMINO-OXOBUT C03508
THR C00188
CPD-679 C06319
CPD-675 C06320
CROTONOBETAINYL-COA CROTONOBETAINYL-COA
L-CARNITINYL-COA L-CARNITINYL-COA
CPD0-881 C16698
GLUCONATE C00257
L-IDONATE C00770
BETA-D-FRUCTOSE C02336
CPD-12575 CPD-12575
UDP C00015
ALPHA-GLUCOSE C00267
GLC-6-P C01172
FRUCTOSE-6P FRUCTOSE-6P
FRUCTOSE-16-DIPHOSPHATE C00354
ACETYL-P C00227
MAL C00149
SUCROSE-6P C02591
CPD-15382 CPD-15382
N-ACETYL-D-GLUCOSAMINE-1-P C04256
UTP C00075
UDP-N-ACETYL-D-GLUCOSAMINE C00043
CPD-13469 CPD-13469
OXALACETIC_ACID C00036
ACETALD C00084
CPD-10189 CPD-10189
